jid,phase,experiment_id,formulation,temperature_c,target_log_sigma,ionic_conductivity_s_cm,component_count,node_count,edge_count,salt_nodes,solvent_nodes
liquid_0068,liquid,PYA_30032021_BM048_4,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-10.0,-5.7600767219685,0.0029013475440638,3,3,6,1,2
liquid_0069,liquid,PYA_30032021_BM048_4,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,0.0,-5.541732214409908,0.0041441790365485,3,3,6,1,2
liquid_0070,liquid,PYA_30032021_BM048_4,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,10.0,-5.338810239611946,0.0050346800288102,3,3,6,1,2
liquid_0071,liquid,PYA_30032021_BM048_4,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,20.0,-5.149732506655904,0.0061273763078495,3,3,6,1,2
liquid_0072,liquid,PYA_30032021_BM048_4,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,30.0,-4.973128976764751,0.0071037070976783,3,3,6,1,2
liquid_0073,liquid,PYA_30032021_BM048_4,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,40.0,-4.807804612122912,0.0082946915747437,3,3,6,1,2
liquid_0074,liquid,PYA_30032021_BM048_4,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,50.0,-4.652712298518788,0.0095008513427403,3,3,6,1,2
liquid_0075,liquid,PYA_30032021_BM048_4,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,60.0,-4.506930644593733,0.0100440085848546,3,3,6,1,2
liquid_0076,liquid,PYA_30032021_BM057_1,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,-30.0,-6.894456097894467,0.0008480054190899,4,4,12,1,3
liquid_0077,liquid,PYA_30032021_BM057_1,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,-20.0,-6.508007140735926,0.0014601983106433,4,4,12,1,3
liquid_0078,liquid,PYA_30032021_BM057_1,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,-10.0,-6.150929185451491,0.0023124266149597,4,4,12,1,3
liquid_0079,liquid,PYA_30032021_BM057_1,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,0.0,-5.819996421840821,0.0031677772767151,4,4,12,1,3
liquid_0080,liquid,PYA_30032021_BM057_1,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,10.0,-5.512438743069329,0.0043823470120029,4,4,12,1,3
liquid_0081,liquid,PYA_30032021_BM057_1,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,20.0,-5.225864020379807,0.0062264053032844,4,4,12,1,3
liquid_0082,liquid,PYA_30032021_BM057_1,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,30.0,-4.958195761334656,0.0074624462925171,4,4,12,1,3
liquid_0083,liquid,PYA_30032021_BM057_1,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,40.0,-4.707622712830467,0.0088617218395527,4,4,12,1,3
liquid_0084,liquid,PYA_30032021_BM057_1,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,50.0,-4.472557821436241,0.0104511973978722,4,4,12,1,3
liquid_0085,liquid,PYA_30032021_BM057_1,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,60.0,-4.251604584935859,0.0125049448689818,4,4,12,1,3
liquid_0086,liquid,PYA_30032021_BM057_2,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,-30.0,-6.659383908380724,0.0009080399566246,4,4,12,1,3
liquid_0087,liquid,PYA_30032021_BM057_2,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,-20.0,-6.243841179942756,0.0016941210723178,4,4,12,1,3
liquid_0088,liquid,PYA_30032021_BM057_2,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,-10.0,-5.859880646331918,0.0029386225589883,4,4,12,1,3
liquid_0089,liquid,PYA_30032021_BM057_2,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,0.0,-5.504033642547976,0.0044801876670683,4,4,12,1,3
liquid_0090,liquid,PYA_30032021_BM057_2,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,10.0,-5.173321514538991,0.0080390106035464,4,4,12,1,3
liquid_0091,liquid,PYA_30032021_BM057_2,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,20.0,-4.865172042372338,0.0117795644924682,4,4,12,1,3
liquid_0092,liquid,PYA_30032021_BM057_2,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,30.0,-4.577352405083907,0.0141548036877244,4,4,12,1,3
liquid_0093,liquid,PYA_30032021_BM057_2,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,40.0,-4.307914989560663,0.0135973474195107,4,4,12,1,3
liquid_0094,liquid,PYA_30032021_BM057_2,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,50.0,-4.055153261211999,0.0125066076963811,4,4,12,1,3
liquid_0095,liquid,PYA_30032021_BM057_2,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,60.0,-3.817565582291439,0.0144222540563853,4,4,12,1,3
liquid_0096,liquid,PYA_30032021_BM057_3,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,-30.0,-6.86607634069121,0.000929641259622,4,4,12,1,3
