"phase","experiment_id","formulation","temperature_c","pc_g","ec_g","emc_g","lipf6_g","ionic_conductivity_s_cm","ln_ionic_conductivity"
"liquid","PYA_30032021_BM057_2","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","20.0","2.7017","0.345","7.209","2.403","0.0117795644924682","-4.865172042372338"
"liquid","PYA_30032021_BM057_2","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","30.0","2.7017","0.345","7.209","2.403","0.0141548036877244","-4.577352405083907"
"liquid","PYA_30032021_BM057_2","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","40.0","2.7017","0.345","7.209","2.403","0.0135973474195107","-4.307914989560663"
"liquid","PYA_30032021_BM057_2","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","50.0","2.7017","0.345","7.209","2.403","0.0125066076963811","-4.055153261211999"
"liquid","PYA_30032021_BM057_2","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","60.0","2.7017","0.345","7.209","2.403","0.0144222540563853","-3.817565582291439"
"liquid","PYA_30032021_BM057_3","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","-30.0","2.7017","0.345","7.209","2.403","0.000929641259622","-6.86607634069121"
"liquid","PYA_30032021_BM057_3","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","-20.0","2.7017","0.345","7.209","2.403","0.0015463687464352","-6.482826463280505"
"liquid","PYA_30032021_BM057_3","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","-10.0","2.7017","0.345","7.209","2.403","0.0023573794913927","-6.12870445038895"
"liquid","PYA_30032021_BM057_3","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","0.0","2.7017","0.345","7.209","2.403","0.003229481841753","-5.800511195534483"
"liquid","PYA_30032021_BM057_3","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","10.0","2.7017","0.345","7.209","2.403","0.0043555157624237","-5.495499523223156"
"liquid","PYA_30032021_BM057_3","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","20.0","2.7017","0.345","7.209","2.403","0.0054728910876553","-5.211297107081796"
"liquid","PYA_30032021_BM057_3","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","30.0","2.7017","0.345","7.209","2.403","0.0067059760928836","-4.94584464417424"
"liquid","PYA_30032021_BM057_3","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","40.0","2.7017","0.345","7.209","2.403","0.0093191135029456","-4.697345875209366"
