phase,formula,temperature_c,ionic_conductivity_s_cm,log10_ionic_conductivity,family,chemical_family,source_doi
solid,Li1.1Cr0.1Ti1.9(PO4)3,25,2.600000E-04,-3.585026652,NASICON,Halides,10.1016/j.ssi.2014.07.018
solid,Li1.1Fe0.1Ti1.9(PO4)3,25,6.300000E-04,-3.200659451,NASICON,Halides,10.1016/j.ssi.2014.07.018
solid,Li1.2Al0.2Ge1.8(PO4)3,25,4.830000E-05,-4.316052869,NASICON,Halides,10.1021/acsami.8b00842
solid,Li1.2Al0.2Ge1.8(PO4)3,25,7.940000E-05,-4.100179498,NASICON,Halides,10.1016/j.jeurceramsoc.2014.11.023
solid,Li1.2Al0.2Ti1.8(PO4)3,25,5.950000E-04,-3.225483034,NASICON,Halides,10.1149/1.2086597
solid,Li1.2Al0.2Ti1.8(PO4)3,25,3.380000E-03,-2.471083300,NASICON,Halides,10.1016/j.jeurceramsoc.2014.11.023
solid,Li1.2Cr0.2Ti1.8(PO4)3,25,4.300000E-04,-3.366531544,NASICON,Halides,10.1016/j.ssi.2014.07.018
solid,Li1.2Fe0.2Ti1.8(PO4)3,25,1.400000E-03,-2.853871964,NASICON,Halides,10.1016/j.ssi.2014.07.018
solid,Li1.2Ga0.2Ti1.8(PO4)3,25,1.620000E-04,-3.790484985,NASICON,Halides,10.1149/1.2086597
solid,Li1.2In0.2Hf1.8(PO4)3,25,4.000000E-06,-5.397940009,NASICON,Halides,10.1016/0167-2738(86)90179-7
solid,Li1.2In0.2Ti1.8(PO4)3,25,8.220000E-05,-4.085128182,NASICON,Halides,10.1021/cm030422i
solid,Li1.2La0.2Ti1.8(PO4)3,25,8.000000E-05,-4.096910013,NASICON,Halides,10.1149/1.2086597
solid,Li1.2Ti1.8Al0.2(PO4)3,25,4.820000E-03,-2.316952962,NASICON,Halides,10.1021/ic400577v
solid,Li1.3Al0.3Ge1.7(PO4)3,25,8.240000E-05,-4.084072788,NASICON,Halides,10.1021/acsami.8b00842
solid,Li1.3Al0.3Ti1.7(PO4)3,25,1.130000E-03,-2.946921557,NASICON,Halides,10.1016/j.ssi.2012.03.045
solid,Li1.3Al0.3Ti1.7(PO4)3,25,1.210000E-03,-2.917214630,NASICON,Halides,10.1016/j.ssi.2014.07.018|10.1016/j.ssi.2016.07.010
solid,Li1.3Cr0.3Ti1.7(PO4)3,25,2.900000E-04,-3.537602002,NASICON,Halides,10.1016/j.ssi.2014.07.018
solid,Li1.3Fe0.3Ti1.7(PO4)3,25,2.460000E-04,-3.609064893,NASICON,Halides,10.1149/1.2086597
